Well;Date_;Pump_Type;Rig_Type;Work_Done;Notes
X-3824;7.12.1981;SRP;RP;Work#6;
X-5518;7.12.1981;SRP;RP;Work#5;
X-1056;7.12.1981;SRP;SV;Work#5;
X-10537;7.12.1981;SRP;RP;Work#7;
X-8919;7.12.1981;SRP;SV;Work#9;
X-7221;8.12.1981;PCP;ID;Work#2;
X-1987;6.12.1981;SRP;RP;Work#6;
X-7229;6.12.1981;SRP;RP;Work#2;
X-7720;7.12.1981;SRP;RP;Work#8;
X-9007;6.12.1981;SRP;RP;Work#9;
X-3962;6.12.1981;SRP;RP;Work#10;
X-5708;7.12.1981;SRP;RP;Work#1;
X-7534;9.12.1981;SRP;ID;Work#2;
X-4328;7.12.1981;SRP;ID;Work#10;
X-5545;8.12.1981;SRP;ID;Work#2;
X-9958;7.12.1981;PCP;RP;Work#10;
X-1136;5.12.1981;SRP;RP;Work#5;
X-10537;5.12.1981;SRP;RP;Work#9;
X-8831;8.12.1981;PCP;ID;Work#2;
X-7534;4.12.1981;SRP;SV;Work#6;
X-5545;5.12.1981;SRP;RP;Work#5;
X-1056;4.12.1981;SRP;RP;Work#7;
X-6732;4.12.1981;SRP;RP;Work#7;
X-3962;4.12.1981;SRP;SV;Work#6;
X-9007;4.12.1981;SRP;RP;Work#6;
X-4328;5.12.1981;SRP;RP;Work#10;
X-7221;5.12.1981;PCP;RP;Work#10;
X-10537;3.12.1981;SRP;RP;Work#8;
X-7127;3.12.1981;SRP;RP;Work#3;
X-4147;3.12.1981;SRP;SV;Work#4;
X-955;3.12.1981;SRP;SV;Work#7;
X-8831;3.12.1981;9;RP;Work#2;
X-3980;2.12.1981;SRP;RP;Work#10;
X-5239;2.12.1981;SRP;RP;Work#10;
X-9007;2.12.1981;SRP;RP;Work#2;
X-7720;1.12.1981;SRP;RP;Work#6;
X-7229;1.12.1981;SRP;SV;Work#9;
X-8556;1.12.1981;SRP;RP;Work#4;
X-7127;1.12.1981;SRP;RP;Work#6;
X-6999;1.12.1981;SRP;RP;Work#5;
X-3811;2.12.1981;SRP;SV;Work#2;
X-3962;1.12.1981;SRP;RP;Work#2;
X-8831;1.12.1981;PCP;RP;Work#8;
X-9007;1.12.1981;SRP;SV;Work#9;
X-7146;1.12.1981;SRP;RP;Work#3;
X-5109;2.12.1981;SRP;ID;Work#1;
X-10537;1.12.1981;SRP;RP;Work#6;
X-5109;1.12.1981;SRP;SV;Work#1;
X-3962;30.11.1981;SRP;RP;Work#1;
X-4147;30.11.1981;SRP;RP;Work#7;
X-8326;30.11.1981;PCP;RP;Work#10;
X-2692;30.11.1981;SRP;RP;Work#7;
X-2753;1.12.1981;SRP;ID;Work#7;
X-7229;30.11.1981;SRP;RP;Work#4;
X-7146;29.11.1981;SRP;RP;Work#1;
X-8831;29.11.1981;PCP;RP;Work#5;
X-3962;28.11.1981;SRP;SV;Work#8;
X-8326;29.11.1981;PCP;ID;Work#5;
X-2692;28.11.1981;SRP;SV;Work#1;
X-10130;28.11.1981;SRP;RP;Work#3;
X-8326;27.11.1981;PCP;RP;Work#4;
X-4147;28.11.1981;SRP;SV;Work#8;
X-1491;26.11.1981;SRP;RP;Work#7;
X-469;26.11.1981;SRP;RP;Work#6;
X-6499;26.11.1981;SRP;RP;Work#2;
X-4896;26.11.1981;SRP;RP;Work#9;
X-3572;26.11.1981;SRP;RP;Work#7;
X-7474;27.11.1981;SRP;ID;Work#4;
X-9007;25.11.1981;SRP;RP;Work#3;
X-2692;25.11.1981;SRP;RP;Work#7;
X-4147;24.11.1981;SRP;RP;Work#9;
X-5239;24.11.1981;SRP;RP;Work#1;
X-1491;24.11.1981;SRP;RP;Work#8;
X-128;24.11.1981;PCP;SV;Work#10;
X-5308;24.11.1981;SRP;RP;Work#9;
X-128;25.11.1981;SRP;ID;Work#9;
X-955;24.11.1981;SRP;RP;Work#3;
X-6499;23.11.1981;SRP;RP;Work#2;
X-4560;23.11.1981;SRP;SV;Work#7;
X-4896;23.11.1981;SRP;RP;Work#1;
X-10130;24.11.1981;SRP;ID;Work#2;
X-6772;24.11.1981;SRP;SV;Work#7;
X-3572;24.11.1981;SRP;RP;Work#10;
X-7983;24.11.1981;PCP;RP;Work#4;
X-5239;22.11.1981;SRP;SV;Work#3;
X-7879;22.11.1981;SRP;SV;Work#7;
X-7454;22.11.1981;SRP;RP;Work#5;
X-1056;22.11.1981;SRP;RP;Work#10;
X-8919;22.11.1981;SRP;RP;Work#2;
X-5308;22.11.1981;SRP;RP;Work#7;
X-9007;22.11.1981;SRP;RP;Work#7;
X-5423;22.11.1981;ENJ;ID;Work#3;
X-7398;22.11.1981;SRP;RP;Work#1;
X-1491;22.11.1981;SRP;RP;Work#8;
X-4896;21.11.1981;SRP;RP;Work#8;
X-10130;21.11.1981;SRP;RP;Work#3;
X-7619;21.11.1981;SRP;SV;Work#3;
X-3572;21.11.1981;SRP;RP;Work#4;
X-2692;22.11.1981;SRP;ID;Work#6;
X-7146;21.11.1981;SRP;RP;Work#8;
X-10953;21.11.1981;SRP;RP;Work#10;
X-8831;21.11.1981;PCP;ID;Work#9;
X-6772;20.11.1981;SRP;RP;Work#1;
X-696;20.11.1981;SRP;RP;Work#1;
X-7879;20.11.1981;SRP;RP;Work#8;
X-5239;20.11.1981;SRP;RP;Work#9;
X-5308;20.11.1981;SRP;SV;Work#1;
X-7619;19.11.1981;SRP;RP;Work#8;
X-10130;19.11.1981;SRP;RP;Work#7;
X-10953;19.11.1981;SRP;RP;Work#4;
X-1491;19.11.1981;SRP;SV;Work#5;
X-8831;19.11.1981;PCP;SV;Work#10;
X-3824;18.11.1981;SRP;RP;Work#6;
X-7879;18.11.1981;SRP;RP;Work#10;
X-696;18.11.1981;SRP;RP;Work#2;
X-6772;18.11.1981;SRP;RP;Work#8;
X-6732;18.11.1981;SRP;RP;Work#4;
X-5308;18.11.1981;SRP;RP;Work#8;
X-7983;19.11.1981;PCP;ID;Work#2;
X-3318;17.11.1981;SRP;RP;Work#4;
X-6499;17.11.1981;SRP;RP;Work#10;
X-3572;18.11.1981;SRP;ID;Work#3;
X-5870;20.11.1981;SRP;ID;Work#6;
X-10130;17.11.1981;SRP;RP;Work#10;
X-5308;16.11.1981;SRP;RP;Work#1;
X-7983;16.11.1981;PCP;RP;Work#7;
X-696;16.11.1981;SRP;RP;Work#10;
X-3824;16.11.1981;SRP;RP;Work#7;
X-6772;16.11.1981;SRP;RP;Work#6;
X-7879;16.11.1981;SRP;RP;Work#9;
X-7860;15.11.1981;SRP;RP;Work#2;
X-263;15.11.1981;PCP;RP;Work#7;
X-955;15.11.1981;SRP;RP;Work#7;
X-4065;16.11.1981;SRP;ID;Work#7;
X-3572;15.11.1981;SRP;RP;Work#9;
X-9149;15.11.1981;SRP;RP;Work#4;
X-2692;16.11.1981;SRP;RP;Work#2;
X-5239;16.11.1981;SRP;SV;Work#3;
X-9977;14.11.1981;SRP;RP;Work#8;
X-7146;14.11.1981;SRP;RP;Work#10;
X-696;14.11.1981;SRP;RP;Work#8;
X-4896;15.11.1981;SRP;ID;Work#1;
X-5308;14.11.1981;SRP;RP;Work#2;
X-7983;14.11.1981;PCP;RP;Work#5;
X-7229;13.11.1981;SRP;RP;Work#3;
X-4065;13.11.1981;SRP;RP;Work#7;
X-3824;14.11.1981;SRP;RP;Work#3;
X-7879;14.11.1981;SRP;RP;Work#5;
X-1056;17.11.1981;SRP;ID;Work#6;
X-4241;12.11.1981;SRP;RP;Work#9;
X-7127;12.11.1981;SRP;RP;Work#7;
X-2692;13.11.1981;SRP;SV;Work#7;
X-696;12.11.1981;SRP;RP;Work#7;
X-4344;11.11.1981;SRP;RP;Work#1;
X-4896;11.11.1981;SRP;SV;Work#10;
X-7127;11.11.1981;SRP;SV;Work#7;
X-3318;13.11.1981;PCP;ID;Work#5;
X-307;11.11.1981;SRP;RP;Work#5;
X-7879;11.11.1981;SRP;RP;Work#7;
X-696;10.11.1981;SRP;RP;Work#2;
X-10953;11.11.1981;SRP;ID;Work#4;
X-3824;10.11.1981;SRP;RP;Work#6;
X-2565;10.11.1981;SRP;RP;Work#3;
X-8556;10.11.1981;SRP;SV;Work#4;
X-10953;10.11.1981;SRP;RP;Work#2;
X-955;10.11.1981;SRP;RP;Work#5;
X-5308;10.11.1981;SRP;RP;Work#8;
X-6459;10.11.1981;SRP;RP;Work#2;
X-10537;10.11.1981;SRP;SV;Work#1;
X-4715;10.11.1981;SRP;RP;Work#3;
X-7146;10.11.1981;SRP;RP;Work#2;
X-3572;11.11.1981;SRP;SV;Work#4;
X-8217;12.11.1981;SRP;ID;Work#5;
X-1056;9.11.1981;SRP;RP;Work#6;
X-968;9.11.1981;SRP;RP;Work#1;
X-3318;9.11.1981;PCP;RP;Work#3;
X-3204;9.11.1981;SRP;RP;Work#10;
X-8217;9.11.1981;SRP;SV;Work#10;
X-4602;9.11.1981;SRP;RP;Work#4;
X-2692;9.11.1981;SRP;RP;Work#2;
X-696;8.11.1981;SRP;SV;Work#7;
X-955;8.11.1981;SRP;RP;Work#3;
X-7070;8.11.1981;SRP;RP;Work#5;
X-3572;8.11.1981;SRP;RP;Work#6;
X-5518;8.11.1981;SRP;SV;Work#10;
X-3204;8.11.1981;SRP;RP;Work#3;
X-4873;8.11.1981;SRP;RP;Work#2;
X-5518;10.11.1981;SRP;ID;Work#7;
X-1136;11.11.1981;SRP;ID;Work#9;
X-6772;13.11.1981;SRP;ID;Work#4;
X-8217;7.11.1981;SRP;RP;Work#8;
X-9149;8.11.1981;SRP;RP;Work#8;
X-4602;7.11.1981;SRP;SV;Work#3;
X-7398;7.11.1981;SRP;RP;Work#4;
X-3962;7.11.1981;SRP;RP;Work#6;
X-7146;8.11.1981;SRP;SV;Work#1;
X-3824;5.11.1981;SRP;GD;Work#4;
X-696;5.11.1981;SRP;RP;Work#1;
X-2692;6.11.1981;SRP;RP;Work#3;
X-6772;6.11.1981;SRP;RP;Work#6;
X-8280;13.11.1981;PCP;ID;Work#6;
X-5518;5.11.1981;SRP;RP;Work#1;
X-3204;6.11.1981;SRP;RP;Work#1;
X-10953;5.11.1981;SRP;GD;Work#7;
X-6499;4.11.1981;SRP;RP;Work#2;
X-7619;4.11.1981;SRP;RP;Work#6;
X-7860;4.11.1981;SRP;RP;Work#6;
X-5109;4.11.1981;SRP;RP;Work#4;
X-3962;4.11.1981;SRP;RP;Work#1;
X-7398;4.11.1981;SRP;RP;Work#10;
X-307;4.11.1981;SRP;RP;Work#8;
X-3202;4.11.1981;SRP;RP;Work#9;
X-4602;3.11.1981;SRP;RP;Work#8;
X-8217;5.11.1981;SRP;SV;Work#8;
X-7983;8.11.1981;PCP;ID;Work#9;
X-4147;3.11.1981;SRP;RP;Work#7;
X-6772;3.11.1981;SRP;RP;Work#3;
X-696;3.11.1981;SRP;RP;Work#3;
X-4065;2.11.1981;SRP;RP;Work#6;
X-5109;2.11.1981;SRP;RP;Work#7;
X-6499;2.11.1981;SRP;RP;Work#8;
X-2692;3.11.1981;SRP;RP;Work#2;
X-3962;2.11.1981;SRP;RP;Work#7;
X-8280;3.11.1981;PCP;RP;Work#9;
X-307;2.11.1981;SRP;RP;Work#3;
X-955;2.11.1981;SRP;RP;Work#6;
X-2649;2.11.1981;SRP;RP;Work#3;
X-7398;1.11.1981;SRP;RP;Work#5;
X-7454;1.11.1981;SRP;RP;Work#4;
X-7983;1.11.1981;PCP;RP;Work#10;
X-6772;1.11.1981;SRP;RP;Work#10;
X-8217;1.11.1981;SRP;RP;Work#1;
X-2753;1.11.1981;SRP;ID;Work#10;
X-7879;1.11.1981;SRP;SV;Work#8;
X-696;30.10.1981;SRP;RP;Work#10;
X-3884;30.10.1981;SRP;RP;Work#5;
X-6499;30.10.1981;SRP;RP;Work#5;
X-4065;30.10.1981;SRP;SV;Work#6;
X-4715;29.10.1981;SRP;RP;Work#10;
X-4602;30.10.1981;SRP;SV;Work#2;
X-5109;30.10.1981;SRP;RP;Work#10;
X-4733;30.10.1981;SRP;RP;Work#7;
X-7983;29.10.1981;PCP;RP;Work#6;
X-9940;29.10.1981;PCP;RP;Work#1;
X-252;28.10.1981;PCP;ID;Work#3;
X-6772;29.10.1981;SRP;RP;Work#3;
X-6499;28.10.1981;SRP;RP;Work#8;
X-1101;28.10.1981;SRP;RP;Work#6;
X-7879;28.10.1981;SRP;RP;Work#3;
X-3318;29.10.1981;PCP;ID;Work#10;
X-5117;27.10.1981;SRP;RP;Work#2;
X-7127;27.10.1981;SRP;RP;Work#4;
X-2255;27.10.1981;SRP;RP;Work#5;
X-696;27.10.1981;SRP;RP;Work#10;
X-3204;30.10.1981;SRP;SV;Work#2;
X-5870;28.10.1981;SRP;ID;Work#1;
X-4733;27.10.1981;SRP;RP;Work#5;
X-8217;28.10.1981;SRP;RP;Work#8;
X-7398;28.10.1981;SRP;RP;Work#6;
X-4602;27.10.1981;SRP;RP;Work#7;
X-6772;26.10.1981;SRP;RP;Work#6;
X-955;26.10.1981;SRP;RP;Work#6;
X-8665;26.10.1981;SRP;RP;Work#1;
X-7720;26.10.1981;SRP;SV;Work#2;
X-3318;26.10.1981;PCP;SV;Work#6;
X-252;26.10.1981;PCP;RP;Work#8;
X-6499;26.10.1981;SRP;RP;Work#10;
X-7879;26.10.1981;SRP;RP;Work#5;
X-391;26.10.1981;SRP;RP;Work#9;
X-6933;25.10.1981;SRP;SV;Work#8;
X-1101;26.10.1981;SRP;RP;Work#5;
X-3824;25.10.1981;SRP;RP;Work#5;
X-10130;25.10.1981;SRP;RP;Work#10;
X-4560;25.10.1981;SRP;RP;Work#1;
X-8217;25.10.1981;SRP;RP;Work#10;
X-7398;25.10.1981;SRP;RP;Work#2;
X-5109;26.10.1981;SRP;ID;Work#7;
X-7229;25.10.1981;SRP;RP;Work#3;
X-8003;24.10.1981;SRP;RP;Work#8;
X-4733;25.10.1981;SRP;SV;Work#6;
X-4602;24.10.1981;SRP;SV;Work#6;
X-7070;24.10.1981;SRP;RP;Work#9;
X-9940;24.10.1981;PCP;RP;Work#8;
X-263;14.11.1981;PCP;ID;Work#10;
X-263;23.10.1981;PCP;SV;Work#10;
X-9149;24.10.1981;SRP;RP;Work#4;
X-7103;23.10.1981;SRP;SV;Work#3;
X-8831;24.10.1981;PCP;RP;Work#6;
X-7454;22.10.1981;SRP;RP;Work#2;
X-6772;22.10.1981;SRP;RP;Work#10;
X-8919;22.10.1981;SRP;RP;Work#6;
X-4065;22.10.1981;SRP;RP;Work#10;
X-8217;23.10.1981;SRP;RP;Work#8;
X-10953;24.10.1981;SRP;RP;Work#10;
X-7398;23.10.1981;SRP;SV;Work#7;
X-3980;21.10.1981;SRP;RP;Work#6;
X-4190;22.10.1981;SRP;RP;Work#10;
X-6459;20.10.1981;SRP;RP;Work#1;
X-7398;20.10.1981;SRP;RP;Work#2;
X-7129;20.10.1981;PCP;SV;Work#4;
X-263;20.10.1981;PCP;RP;Work#4;
X-3527;20.10.1981;SRP;SV;Work#8;
X-3757;20.10.1981;SRP;RP;Work#5;
X-7619;20.10.1981;SRP;RP;Work#6;
X-4147;20.10.1981;SRP;RP;Work#4;
X-10953;20.10.1981;SRP;SV;Work#9;
X-396;22.10.1981;PCP;RP;Work#5;
X-8217;18.10.1981;SRP;RP;Work#8;
X-396;20.10.1981;PCP;SV;Work#8;
X-7229;19.10.1981;SRP;RP;Work#4;
X-396;20.10.1981;PCP;RP;Work#10;
X-7983;17.10.1981;PCP;RP;Work#2;
X-3896;17.10.1981;SRP;RP;Work#10;
X-3757;17.10.1981;SRP;RP;Work#8;
X-7070;17.10.1981;SRP;SV;Work#6;
X-8919;17.10.1981;SRP;RP;Work#10;
X-8556;19.10.1981;SRP;SV;Work#2;
X-787;16.10.1981;SRP;SV;Work#7;
X-5870;18.10.1981;SRP;RP;Work#2;
X-3824;18.10.1981;SRP;RP;Work#6;
X-7983;16.10.1981;PCP;ID;Work#5;
X-5308;14.10.1981;SRP;RP;Work#4;
X-3824;14.10.1981;SRP;RP;Work#2;
X-4733;15.10.1981;SRP;RP;Work#10;
X-7837;13.10.1981;SRP;RP;Work#3;
X-10130;14.10.1981;SRP;RP;Work#1;
X-3896;14.10.1981;SRP;RP;Work#10;
X-4782;12.10.1981;SRP;RP;Work#5;
X-8556;13.10.1981;SRP;RP;Work#10;
X-6459;12.10.1981;SRP;RP;Work#2;
X-3824;12.10.1981;SRP;RP;Work#3;
X-6499;11.10.1981;SRP;RP;Work#10;
X-7983;12.10.1981;SRP;RP;Work#6;
X-9149;11.10.1981;SRP;RP;Work#4;
X-5870;11.10.1981;SRP;RP;Work#6;
X-7837;10.10.1981;SRP;RP;Work#10;
X-307;11.10.1981;SRP;ID;Work#8;
X-8556;10.10.1981;SRP;RP;Work#4;
X-7263;10.10.1981;PCP;RP;Work#8;
X-3962;10.10.1981;SRP;RP;Work#7;
X-3204;9.10.1981;SRP;RP;Work#4;
X-4147;10.10.1981;SRP;ID;Work#1;
X-4122;10.10.1981;SRP;ID;Work#10;
X-5842;8.10.1981;SRP;RP;Work#4;
X-7720;8.10.1981;SRP;SV;Work#10;
X-307;9.10.1981;SRP;SV;Work#1;
X-7263;8.10.1981;PCP;SV;Work#6;
X-8556;8.10.1981;SRP;ID;Work#4;
X-3962;7.10.1981;SRP;SV;Work#10;
X-4739;7.10.1981;SRP;RP;Work#7;
X-8217;6.10.1981;SRP;RP;Work#6;
X-7229;9.10.1981;SRP;RP;Work#10;
X-4122;6.10.1981;SRP;RP;Work#10;
X-4147;6.10.1981;SRP;SV;Work#6;
X-307;6.10.1981;SRP;RP;Work#5;
X-3824;6.10.1981;SRP;RP;Work#9;
X-1136;6.10.1981;SRP;ID;Work#7;
X-6499;5.10.1981;SRP;RP;Work#2;
X-7720;5.10.1981;SRP;RP;Work#2;
X-3716;4.10.1981;SRP;RP;Work#5;
X-7837;4.10.1981;SRP;SV;Work#2;
X-7720;1.10.1981;SRP;SV;Work#4;
X-8556;5.10.1981;SRP;SV;Work#8;
X-5109;1.10.1981;SRP;ID;Work#5;
X-3980;1.10.1981;SRP;SV;Work#3;
X-7860;1.10.1981;SRP;SV;Work#2;
X-9940;1.10.1981;PCP;ID;Work#7;
X-7070;1.10.1981;SRP;RP;Work#1;
X-7468;30.09.1981;SRP;ID;Work#2;
X-3962;1.10.1981;SRP;ID;Work#10;
X-1101;30.09.1981;SRP;SV;Work#3;
X-8556;30.09.1981;SRP;RP;Work#10;
X-5109;29.09.1981;SRP;RP;Work#9;
X-10130;29.09.1981;SRP;RP;Work#5;
X-4122;30.09.1981;SRP;SV;Work#5;
X-6499;29.09.1981;SRP;RP;Work#7;
X-9940;29.09.1981;PCP;RP;Work#5;
X-1101;28.09.1981;SRP;RP;Work#10;
X-3824;30.09.1981;SRP;RP;Work#4;
X-7146;28.09.1981;SRP;RP;Work#9;
X-3962;28.09.1981;SRP;RP;Work#8;
X-595;6.10.1981;PCP;ID;Work#3;
X-2649;27.09.1981;SRP;RP;Work#3;
X-4122;27.09.1981;SRP;RP;Work#1;
X-2212;27.09.1981;SRP;SV;Work#1;
X-3824;26.09.1981;SRP;RP;Work#5;
X-4782;26.09.1981;SRP;ID;Work#7;
X-1101;26.09.1981;SRP;SV;Work#2;
X-7619;26.09.1981;PCP;SV;Work#7;
X-3980;26.09.1981;SRP;SV;Work#4;
X-8919;26.09.1981;SRP;RP;Work#2;
X-787;27.09.1981;SRP;SV;Work#3;
X-595;27.09.1981;PCP;SV;Work#5;
X-696;25.09.1981;SRP;SV;Work#4;
X-6999;27.09.1981;SRP;RP;Work#1;
X-252;25.09.1981;PCP;RP;Work#8;
X-8556;26.09.1981;SRP;SV;Work#4;
X-2692;26.09.1981;SRP;RP;Work#10;
X-10130;26.09.1981;SRP;ID;Work#4;
X-3962;26.09.1981;SRP;SV;Work#1;
X-5518;27.09.1981;SRP;ID;Work#6;
X-29;24.09.1981;SRP;SV;Work#4;
X-595;24.09.1981;PCP;RP;Work#7;
X-10953;25.09.1981;SRP;SV;Work#3;
X-696;24.09.1981;SRP;SV;Work#8;
X-7146;24.09.1981;SRP;SV;Work#3;
X-10130;24.09.1981;SRP;SV;Work#10;
X-4196;24.09.1981;PCP;SV;Work#2;
X-3980;23.09.1981;SRP;RP;Work#9;
X-3962;23.09.1981;SRP;RP;Work#10;
X-5518;23.09.1981;SRP;RP;Work#8;
X-7127;23.09.1981;SRP;RP;Work#10;
X-8556;23.09.1981;SRP;RP;Work#6;
X-2692;23.09.1981;SRP;SV;Work#10;
X-2649;23.09.1981;SRP;RP;Work#8;
X-1683;22.09.1981;PCP;SV;Work#3;
X-10130;22.09.1981;SRP;RP;Work#1;
X-7398;22.09.1981;SRP;RP;Work#9;
X-3811;22.09.1981;SRP;SV;Work#10;
X-1683;23.09.1981;PCP;RP;Work#6;
X-8556;22.09.1981;SRP;RP;Work#8;
X-7140;22.09.1981;SRP;SV;Work#3;
X-7146;21.09.1981;SRP;RP;Work#5;
X-10953;21.09.1981;SRP;RP;Work#2;
X-3962;21.09.1981;SRP;SV;Work#6;
X-5518;21.09.1981;SRP;SV;Work#2;
X-4715;21.09.1981;SRP;RP;Work#1;
X-3811;20.09.1981;SRP;SV;Work#6;
X-6459;20.09.1981;SRP;RP;Work#1;
X-7127;22.09.1981;SRP;SV;Work#6;
X-4602;19.09.1981;SRP;SV;Work#4;
X-3962;19.09.1981;SRP;SV;Work#4;
X-7398;20.09.1981;SRP;RP;Work#8;
X-2392;20.09.1981;SRP;SV;Work#6;
X-10130;20.09.1981;SRP;RP;Work#1;
X-1101;18.09.1981;SRP;ID;Work#2;
X-3824;18.09.1981;SRP;RP;Work#1;
X-7860;18.09.1981;SRP;RP;Work#9;
X-5518;18.09.1981;SRP;RP;Work#5;
X-3811;18.09.1981;SRP;RP;Work#3;
X-4121;17.09.1981;PCP;ID;Work#4;
X-10130;17.09.1981;SRP;RP;Work#9;
X-7398;17.09.1981;SRP;RP;Work#9;
X-5256;18.09.1981;SRP;RP;Work#8;
X-2392;17.09.1981;SRP;RP;Work#10;
X-7454;16.09.1981;SRP;SV;Work#2;
X-97;16.09.1981;SRP;RP;Work#5;
X-7837;16.09.1981;SRP;RP;Work#5;
X-8919;18.09.1981;SRP;RP;Work#7;
X-10953;21.09.1981;SRP;SV;Work#7;
X-3884;17.09.1981;SRP;RP;Work#7;
X-4872;16.09.1981;SRP;RP;Work#7;
X-1101;16.09.1981;SRP;RP;Work#7;
X-29;17.09.1981;SRP;RP;Work#4;
X-5109;15.09.1981;SRP;RP;Work#3;
X-4121;16.09.1981;PCP;RP;Work#10;
X-2649;15.09.1981;SRP;RP;Work#6;
X-5256;15.09.1981;SRP;RP;Work#1;
X-787;15.09.1981;SRP;RP;Work#8;
X-9940;15.09.1981;PCP;RP;Work#3;
X-7720;14.09.1981;SRP;RP;Work#2;
X-10130;15.09.1981;SRP;RP;Work#7;
X-7070;15.09.1981;SRP;ID;Work#1;
X-3980;14.09.1981;SRP;RP;Work#3;
X-2649;13.09.1981;SRP;SV;Work#7;
X-7146;13.09.1981;SRP;GD;Work#9;
X-6772;14.09.1981;SRP;RP;Work#8;
X-696;13.09.1981;SRP;RP;Work#8;
X-8556;15.09.1981;SRP;RP;Work#5;
X-4896;13.09.1981;SRP;RP;Work#1;
X-6499;13.09.1981;SRP;SV;Work#3;
X-7398;14.09.1981;SRP;SV;Work#10;
X-5308;17.09.1981;SRP;RP;Work#9;
X-5256;14.09.1981;SRP;RP;Work#4;
X-4190;13.09.1981;SRP;SV;Work#9;
X-787;13.09.1981;SRP;RP;Work#2;
X-3980;12.09.1981;SRP;SV;Work#7;
X-7398;11.09.1981;SRP;SV;Work#4;
X-5308;11.09.1981;SRP;SV;Work#3;
X-5518;11.09.1981;SRP;RP;Work#6;
X-7619;11.09.1981;SRP;RP;Work#4;
X-3855;11.09.1981;SRP;SV;Work#6;
X-7146;10.09.1981;SRP;RP;Work#5;
X-252;11.09.1981;PCP;RP;Work#1;
X-2649;11.09.1981;SRP;SV;Work#3;
X-5870;18.09.1981;SRP;RP;Work#10;
X-4190;10.09.1981;SRP;RP;Work#4;
X-3980;10.09.1981;SRP;RP;Work#2;
X-5308;9.09.1981;SRP;RP;Work#8;
X-7398;9.09.1981;SRP;RP;Work#6;
X-6499;9.09.1981;SRP;SV;Work#7;
X-6459;9.09.1981;SRP;SV;Work#8;
X-4190;8.09.1981;SRP;SV;Work#6;
X-1056;8.09.1981;SRP;RP;Work#2;
X-7146;8.09.1981;SRP;RP;Work#9;
X-3811;7.09.1981;SRP;RP;Work#5;
X-252;7.09.1981;PCP;RP;Work#7;
X-5308;7.09.1981;SRP;SV;Work#6;
X-10953;1.09.1981;SRP;RP;Work#3;
X-5518;7.09.1981;SRP;SV;Work#10;
X-29;7.09.1981;SRP;RP;Work#1;
X-1056;7.09.1981;SRP;RP;Work#5;
X-7146;6.09.1981;SRP;RP;Work#4;
X-5256;6.09.1981;SRP;RP;Work#7;
X-1101;5.09.1981;SRP;ID;Work#6;
X-900;5.09.1981;ENJ;ID;Work#7;
X-7894;5.09.1981;SRP;RP;Work#9;
X-10953;4.09.1981;SRP;SV;Work#6;
X-7454;4.09.1981;SRP;RP;Work#8;
X-5109;4.09.1981;SRP;SV;Work#1;
X-3855;3.09.1981;SRP;ID;Work#10;
X-7146;3.09.1981;SRP;RP;Work#5;
X-4344;3.09.1981;SRP;SV;Work#8;
X-2565;2.09.1981;SRP;ID;Work#6;
X-7070;2.09.1981;SRP;RP;Work#1;
X-307;2.09.1981;SRP;RP;Work#4;
X-7534;1.09.1981;PCP;ID;Work#3;
X-10953;2.09.1981;SRP;SV;Work#3;
X-2692;2.09.1981;SRP;RP;Work#3;
